edge_id,from_node_id,to_node_id,relationship,observation_id,cell_id,evidence_basis
edge:71866c6cb08dbaa0c859,source_record:c9024fe3b36dd1151ec1,observation:a7e8ddddcfeb654133b3,record_sources_observation,72e8553f361951a0c2c8,3087bf08970908c509ca,H6 source_record_id carried by the observation
edge:73178d8557acdbd927d8,source_record:9d014b544d90b04f050e,observation:fd786e62692104822637,record_sources_observation,87cdfc70ee6d45666fec,425bfdd5ca02ab3e3cc1,H6 source_record_id carried by the observation
edge:7c52abec8301915a3956,source_record:07204f7959a158920906,observation:5f781c26691e4c1d4e63,record_sources_observation,05a8528c88245297d4ba,5b5eeef107bb6f124496,H6 source_record_id carried by the observation
edge:7d1c63e511c7fb7277df,source_record:609ed81aeb94651f9f28,observation:faa7a4c88494a64e5e39,record_sources_observation,bc696217068415ca73e2,4aab4307f4906503d2a4,H6 source_record_id carried by the observation
edge:7d97ad5aca9915b9e831,source_record:bbde0e659e98bd2c6084,observation:1b7b7decaafba2e44741,record_sources_observation,f831d08aa91c95864cd0,05ae4dff5d60b5021813,H6 source_record_id carried by the observation
edge:7f27bf0b0d01f1b84454,source_record:1822780c1a34fa87ecd7,observation:de0321deca75854654ba,record_sources_observation,506a60e86fb32d9c608b,e33e2f8351747300cba7,H6 source_record_id carried by the observation
edge:85e5edbf17ab483d1eba,source_record:7e35d4e934c4fa296c7d,observation:389c8092fc51c52bc4eb,record_sources_observation,6ad6dfc4b05d0f292d1f,425bfdd5ca02ab3e3cc1,H6 source_record_id carried by the observation
edge:8672fb508446f354eb3d,source_record:c2b5603f1388485b6d3e,observation:be61f5d1cfa355a917f0,record_sources_observation,356dadeceba952eb2a0c,e33e2f8351747300cba7,H6 source_record_id carried by the observation
edge:9b85261ff9ac07a8a4be,source_record:061aced56e5316f767e3,observation:e36405cf00bd435e3d3d,record_sources_observation,74fed6e1c3d917191be6,53b2a1ef09a68d6c5173,H6 source_record_id carried by the observation
edge:a477ba478c6016a5c04a,source_record:16473e53e748c08ec754,observation:667f983b01d3cdf7458e,record_sources_observation,9fcd6d7d4f2e24e56db1,1c03a76cb6a98f53235d,H6 source_record_id carried by the observation
edge:ae349404d8c598b2eb16,source_record:470895f1243b5ec9b3fc,observation:202f97684ab8629aa916,record_sources_observation,d3d17696ddd6a7bcb743,af12d1ae8c1555d899be,H6 source_record_id carried by the observation
edge:b4d9eb1c17ee133cc232,source_record:e6e65cbbb0692b29878a,observation:4451fa83b206a52cd53e,record_sources_observation,463dda3fe5140e2fbed2,7c1c5248808f73b2f3a6,H6 source_record_id carried by the observation
edge:bc6c3b3a0ae53dd7867c,source_record:71811020d9a92abf868d,observation:e4c9a85a54e3ad78e66c,record_sources_observation,ad8a7f5c7869af674e3a,05ae4dff5d60b5021813,H6 source_record_id carried by the observation
edge:c2f0fea241af5c38aec5,source_record:091fddff5547c21e53b2,observation:da340ced2539c49628bf,record_sources_observation,a34fc65bf470c1e7ce20,af12d1ae8c1555d899be,H6 source_record_id carried by the observation
edge:cf54b9d78694f1659743,source_record:875236bbef4d7952b885,observation:cc516c3714c088b54218,record_sources_observation,f4b6cbcb460eaef0f82e,e4982bb0d13ac08094aa,H6 source_record_id carried by the observation
edge:e78fc95f1111f6a4e65e,source_record:4ed2457911a60c3d488b,observation:8723d68bb99c76a272c0,record_sources_observation,211b04665de26cd11d77,53b2a1ef09a68d6c5173,H6 source_record_id carried by the observation
edge:f1c43cf64feb0dbf008c,source_record:271cc1d0fc53de1a353a,observation:885040ab6fb9ac0096b2,record_sources_observation,9fe0a3bb2baed4ce3810,7c1c5248808f73b2f3a6,H6 source_record_id carried by the observation
edge:f3023b61ebc604c45ec4,source_record:69c44ea8114c54419750,observation:3b44dd267dadc5b9eb40,record_sources_observation,2766cbe2cf960f73ba05,71a013b45f47a8aefa7d,H6 source_record_id carried by the observation
edge:f68ded29a681496095a3,source_record:0230a2ca03c36177ec6e,observation:b9d9aa4f2beeae259666,record_sources_observation,cfe502c53f19a90449e6,94651a48df17d3b56a1b,H6 source_record_id carried by the observation
edge:0cf7e452cf71a82ad5a1,transformation_run:9c729c994c878f480a2a,observation:c8636f1fbb21ce328ae5,transformation_run_derives_observation,b55b4fefc9148be667c1,94651a48df17d3b56a1b,H6 transformation_run_id
edge:0d2389d41885b58e8bb5,transformation_run:9c729c994c878f480a2a,observation:e4c9a85a54e3ad78e66c,transformation_run_derives_observation,ad8a7f5c7869af674e3a,05ae4dff5d60b5021813,H6 transformation_run_id
edge:0d8c4f256650631288c0,transformation_run:9c729c994c878f480a2a,observation:5577ee9eb9f8775867ee,transformation_run_derives_observation,d99bc3566095bc6ee582,7e097ceb497e25947325,H6 transformation_run_id
edge:158a6b5ba066b1a8429d,transformation_run:9c729c994c878f480a2a,observation:c8d559d64c4d785c41a3,transformation_run_derives_observation,1721995859418ecf608c,3087bf08970908c509ca,H6 transformation_run_id
edge:16d08dfc86d405666571,transformation_run:9c729c994c878f480a2a,observation:f99fdeebfc608df3a8bb,transformation_run_derives_observation,e313de2e0e1a97bc17ff,7e097ceb497e25947325,H6 transformation_run_id
edge:1e6728a75be43ea37f39,transformation_run:9c729c994c878f480a2a,observation:8723d68bb99c76a272c0,transformation_run_derives_observation,211b04665de26cd11d77,53b2a1ef09a68d6c5173,H6 transformation_run_id
edge:21b024ea15851167b33b,transformation_run:9c729c994c878f480a2a,observation:b9d9aa4f2beeae259666,transformation_run_derives_observation,cfe502c53f19a90449e6,94651a48df17d3b56a1b,H6 transformation_run_id
